Designation In English,المسمى الوظيفي بالإنجليزي
Please do not change the rows above {0},يرجى عدم تغيير الصفوف أعلاه {0}
No data found,لاتوجد بيانات
Only allowed {0} rows in one import,تم السماح ب {0} من الصفوف في عملية استيراد واحدة فقط
There must be atleast one permission rule.,يجب أن يكون هناك على الأقل قاعدة إذن واحد.
Clutch Plate,الكلتش
Cannot remove permission for DocType: {0} and Name: {1},Cannot remove permission for DocType: {0} and Name: {1}
Engine Oil,زيت المحرك
Cannot set permission for DocType: {0} and Name: {1,لا يمكن تعيين الإذن ل دوكتيب: {0} و الاسم: {1
Oil Change,تغيير زيت
Please upload using the same template as download.,الرجاء التحميل باستخدام نفس نموذج التنزيل.
Show Section Headings,عرض عناويين القسم
Please select Document Type first,يرجى تحديد نوع المستند أولا
Wheels,العجلات
Please specify user,يرجى تحديد المستخدم
Show Line Breaks after Sections,عرض فواصل الأسطر بعد الأقسام
Please specify doctype,يرجى تحديد دوكتيب
Label is mandatory,التسمية إلزامية
Address Template,نموذج العنوان
Inspection,تفتيش
Fieldname not set for Custom Field,لم يتم تعيين اسم الحقل للحقل المخصص
Service,خدمة
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",إدراج بعد الحقل '{0}' المذكورة في الحقل المخصص '{1}'، مع التصنيف '{2}'، غير موجود
Change,تغيير
Insert After cannot be set as {0},الإدراج بعد لا يمكن تعيينه ك {0}
Mileage,عدد الأميال
cannot delete custom field,لا يمكن حذف الحقل المخصص
Fieldtype cannot be changed from {0} to {1} in row {2},لا يمكن تغيير نوع الحقل من {0} إلى {1} في الصف {2}
Module Not Found,لم يتم العثور على الوحدة
You don't have access to Report: {0},ليس لديك حق الوصول إلى التقرير: {0}
You don't have permission to get a report on: {0},ليس لديك إذن للحصول على تقرير عن: {0}
Report {0} is disable,تم تعطيل التقرير {0}
This query style is discontinued,تم إيقاف نمط طلب البحث هذا
has been Changed to,تم تغيرها الى
"Field ""value"" is mandatory. Please specify value to be updated","حقل ""قيمة"" إلزامي. يرجى تحديد قيمة ليتم تحديثها"
; not allowed in condition,; غير مسموح به في حالة
{0} records updated,العناصر {0} تم تحديثها
Already in user's To Do list,موجود بالفعل في قائمة المهام الواجبة للمستخدم
This method can only be used to create a Comment,يمكن استخدام هذه الطريقة فقط لإنشاء تعليق
{0} not found,{0} غير موجود
Listing app not allowed,لا يسمح بإدراج التطبيق
You cannot install this app,لا يمكنك تثبيت هذا التطبيق
Unknown app {0},تطبيق غير معروف {0}
Please select Price List,الرجاء اختيار قائمة الأسعار
Event end must be after start,نهاية الحدث يجب أن يكون بعد بدايته
Every day events should finish on the same day.,كل حدث يومي يجب أن ينتهي بنفس اليوم
Name of the new Print Format,إسم تنسيق الطباعة الجديد
Quantity should be greater than 0,الكمية يجب أن تكون أبر من 0
Column Name cannot be empty,اسم العمود لا يمكن أن يكون فارغا
Select a DocType to make a new format,أختر DocType لتنشئ تنسيق جديد
Currency of the price list {0} is not similar with the selected currency {1},عملة قائمة الأسعار {0} ليست نفس العملة التي تم اختيارها {1}
Column <b>{0}</b> already exist.,"العمود <b>{0}<b> موجود بالفعل
Column <b>{0}</b> already exist."
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,لا يمكن إرسال هذه الرسالة الإلكترونية. لقد تجاوزت حد الإرسال لعدد {0} من رسائل البريد الإلكتروني لهذا الشهر.
Select an existing format to edit or start a new format.,حدد تنسيق حالي للتعديل أو بدء تنسيق جديد.
Raw Materials cannot be blank.,المواد الخام لايمكن أن تكون فارغة
Can not find UIDVALIDITY in imap status response,لا يمكن العثور على UIDVALIDITY ردا وضع IMAP
Invalid login or password,عنوان المستلم غير صالح
Please setup default Email Account from Setup > Email > Email Account,الرجاء إعداد حساب البريد الإلكتروني الافتراضي من الإعداد> البريد الإلكتروني> حساب البريد الإلكتروني
Only {0} emailed reports are allowed per user,لا يسمح سوى بتقارير {0} عبر البريد الإلكتروني لكل مستخدم
%s is not a valid report format. Report format should \ one of the following %s,٪ s ليس تنسيق تقرير صالحا. يجب أن يكون تنسيق التقرير \ أحد٪ s التالية
Invalid Output Format,تنسيق الإخراج غير صالح
Please set filters value in Report Filter table.,الرجاء تعيين قيمة عوامل التصفية في جدول تصفية التقرير.
Permission Level,مستوى الصلاحيات
Please set Email Address,يرجى تعيين عنوان البريد الإلكتروني
Login Id is required,مطلوب معرف تسجيل الدخول
"Email id must be unique, Email Account is already exist \ for {0}",يجب أن يكون معرف البريد الإلكتروني فريدا،حساب البريد الإلكتروني موجود بالفعل \ ل {0}
Authorized Value,القيمة المعتمدة
BOM recursion: {0} cannot be parent or child of {2},فاتورة المواد مكررة: {0} لايمكن أن تكون كفاتورة رئيسية أو فاتورة فرعية من {2}
Password is required or select Awaiting Password,كلمة المرور مطلوبة أو اختر كلمة المرور
{0} is mandatory,{0} إلزامي
Append To can be one of {0},إلحاق يمكن أن يكون واحدا من {0}
Cannot deactivate or cancel BOM as it is linked with other BOMs,لايمكن تعطيل أو الغاء فاتورة المواد لأنها مرتبطة بفواتير مواد أخرى
Please specify which date field must be checked,يرجى تحديد حقل التاريخ الذي يجب التحقق منه
Please specify which value field must be checked,يرجى تحديد حقل القيمة الذي يجب التحقق منه
The Condition '{0}' is invalid,الشرط '{0}' غير صالح
Operations cannot be left blank,العمليات لايمكن تركها فارغة
Cannot set Email Alert on Document Type {0},لا يمكن ضبط تنبيه البريد الإلكتروني على نوع الوثيقة {0}
Bill of Materials,فاتورة المواد
Error while evaluating Email Alert {0}. Please fix your template.,حدث خطأ أثناء تقييم تنبيه البريد الإلكتروني {0}. الرجاء إصلاح النموذج.
Incoming email account not correct,حساب البريد الإلكتروني الوارد غير صحيح
Outgoing email account not correct,حساب البريد الإلكتروني الصادر غير صحيح
Please Upgrade to add more than {0} subscribers,يرجى الترقية لإضافة أكثر من {0} مشتركين
Only Administrator can delete Email Queue,يمكن فقط للمسؤول حذف قائمة انتظار البريد الإلكتروني
BOM {0} must be active,فاتورة المواد {0} يجب أن تكون نشطة
Reference DocType and Reference Name are required,مطلوب مرجع دوكتيب واسم مرجع
Custom Tags,العلامات المخصصة
BOM {0} must be submitted,فاتورة المواد {0} يجب أن تكون مسجلة
Delete this record to allow sending to this email address,احذف هذا السجل للسماح بالإرسال إلى عنوان البريد الإلكتروني هذا
{0} already unsubscribed,{0} تم إلغاء الاشتراك من قبل
{0} already unsubscribed for {1} {2},{0} تم إلغاء الاشتراك في {1} {2}
Newsletter has already been sent,تم إرسال الرسالة الإخبارية بالفعل
